marker_symbol,mgi_accession_id
Cd3e,MGI:88332
Atg9b,MGI:2685420
Pou2f1,MGI:101898
Kcnk15,MGI:2675209
Ephx4,MGI:2686228
Mab21l3,MGI:2446273
Tmem178b,MGI:3647581
Sertad4,MGI:2443496
0610033M10Rik,MGI:1921343
Cldn2,MGI:1276110
Aplnr,MGI:1346086
Esd,MGI:95421
Ormdl3,MGI:1913862
Pih1d1,MGI:1916095
Ostes,MGI:3688249
Ppp6r3,MGI:1921807
Ncf2,MGI:97284
Mip,MGI:96990
Snhg11,MGI:2441845
Heatr9,MGI:3650286
Zc3h18,MGI:1923264
Zfp870,MGI:3029586
Tars,MGI:106314
Prrt1,MGI:1932118
Vdr,MGI:103076
Cga,MGI:88390
Tnnt3,MGI:109550
Sprn,MGI:3582583
Scnn1g,MGI:104695
Psg22,MGI:1891354
Lat2,MGI:1926479
2310009B15Rik,MGI:1916799
Ppp1r27,MGI:1915951
Notch2,MGI:97364
Heatr6,MGI:1919790
Lhfpl2,MGI:2145236
Med29,MGI:1914474
Nppb,MGI:97368
Crygd,MGI:88524
Cebpz,MGI:109386
Ceacam5,MGI:1920500
Lgals1,MGI:96777
Klc4,MGI:1922014
