marker_symbol,mgi_accession_id
Zfp592,MGI:2443541
Krt81,MGI:1928858
Camk2g,MGI:88259
Sertad2,MGI:1931026
0610025J13Rik,MGI:1915618
Zfp467,MGI:1916160
Igfbp4,MGI:96439
Serpina12,MGI:1915304
Srrm2,MGI:1923206
0610010F05Rik,MGI:1918925
Pwp2,MGI:1341200
Clcn7,MGI:1347048
Mir191,MGI:2676855
Prelid1,MGI:1913744
Adamtsl2,MGI:1925044
Fam122a,MGI:1915284
Mreg,MGI:2151839
Hgs,MGI:104681
Grhpr,MGI:1923488
Inca1,MGI:2144284
Gtf2a2,MGI:1933289
Mtch1,MGI:1929261
Agps,MGI:2443065
Sema4g,MGI:1347047
Ndufa4l2,MGI:3039567
Unc93b1,MGI:1859307
Asphd2,MGI:1920148
Sipa1l2,MGI:2676970
Arntl2,MGI:2684845
Mrpl37,MGI:1926268
Ifi202b,MGI:1347083
Nudcd3,MGI:2144158
Creld1,MGI:2152539
Serpinc1,MGI:88095
Fut8,MGI:1858901
Edem2,MGI:1915540
Gm7489,MGI:3647008
Meaf6,MGI:1917338
Ttr,MGI:98865
Exosc4,MGI:1923576
Wnt8a,MGI:107924
Pnliprp2,MGI:1336202
Uspl1,MGI:2442342
Zfp672,MGI:2442105
Erg28,MGI:1915571
Hpn,MGI:1196620
Iqcf4,MGI:1914570
Tmem150c,MGI:3041258
Vps4b,MGI:1100499
Prss53,MGI:2652890
Vrk2,MGI:1917172
Slc32a1,MGI:1194488
Amhr2,MGI:105062
Sncaip,MGI:1915097
AI593442,MGI:2143099
Orm2,MGI:97444
Clic6,MGI:2146607
Trim24,MGI:109275
Pbx2,MGI:1341793
Fat4,MGI:3045256
Mbp,MGI:96925
Tjp1,MGI:98759
Nudt21,MGI:1915469
Tmem215,MGI:2444167
Cyb5b,MGI:1913677
Pex10,MGI:2684988
Prl4a1,MGI:1206587
A230050P20Rik,MGI:2441788
Zfp819,MGI:1921650
Mixl1,MGI:1351322
Ccdc85c,MGI:3644008
Herc2,MGI:103234
Tmem92,MGI:3034723
Chst1,MGI:1924219
Stk40,MGI:1921428
Fmo2,MGI:1916776
Syt13,MGI:1933945
Rsrc1,MGI:1914130
Eci2,MGI:1346064
Mlycd,MGI:1928485
Adam33,MGI:1341813
Cdx2,MGI:88361
Sfpq,MGI:1918764
Antxr1,MGI:1916788
0610010K14Rik,MGI:1915609
Glul,MGI:95739
Mroh1,MGI:2442558
Rbfa,MGI:1915981
Gng7,MGI:95787
Ibsp,MGI:96389
Itprid2,MGI:1917849
Iars,MGI:2145219
Csn1s2a,MGI:88542
Cyb5r1,MGI:1919267
Frem2,MGI:2444465
Apc2,MGI:1346052
Neu2,MGI:1344417
Sectm1a,MGI:2384805
Acat3,MGI:109182
Tacr1,MGI:98475
Rasgrp1,MGI:1314635
Pdcd5,MGI:1913538
Lcn9,MGI:1924954
Hspa13,MGI:1309463
Akt1s1,MGI:1914855
Dennd6b,MGI:1916690
Psmd10,MGI:1858898
Zfp128,MGI:2389445
Ece1,MGI:1101357
Eva1b,MGI:1922063
Mcoln2,MGI:1915529
Tecr,MGI:1915408
Taar5,MGI:2685073
Aldh8a1,MGI:2653900
Wnt9a,MGI:2446084
Myh7,MGI:2155600
Rnf186,MGI:1914075
Slc26a5,MGI:1933154
Luc7l2,MGI:2183260
Ctps2,MGI:1933185
Tle6,MGI:2149593
Pde6c,MGI:105956
Cryz,MGI:88527
Nxph1,MGI:107492
Hnrnpr,MGI:1891692
Slc39a12,MGI:2139274
Susd3,MGI:1913579
Kdm6a,MGI:1095419
Zfp39,MGI:99183
Klk10,MGI:1916790
Rc3h1,MGI:2685397
Dgat2l6,MGI:3045268
1700028K03Rik,MGI:1923671
Tln1,MGI:1099832
Mob3a,MGI:3050117
Grap2,MGI:1333842
Wdr55,MGI:1915186
Eea1,MGI:2442192
Tent4a,MGI:2682295
Hdgfl2,MGI:1194492
Tspan1,MGI:1914055
Zfp352,MGI:2387418
Hrg,MGI:2146636
Vps18,MGI:2443626
Myh3,MGI:1339709
Entpd5,MGI:1321385
Osbpl7,MGI:1918490
Parn,MGI:1921358
Sdcbp,MGI:1337026
Slc26a4,MGI:1346029
Zfp523,MGI:2687278
Dsn1,MGI:1914184
Fip1l1,MGI:1914149
BC028528,MGI:2385885
Pilrb2,MGI:2450535
Kcnk3,MGI:1100509
Ifih1,MGI:1918836
Vav1,MGI:98923
Megf10,MGI:2685177
P2ry12,MGI:1918089
Tfb2m,MGI:107937
Trim15,MGI:1916347
Cd68,MGI:88342
Lypla2,MGI:1347000
Zfp53,MGI:99200
Csmd1,MGI:2137383
Tapt1,MGI:2683537
Glp2r,MGI:2136733
Vil1,MGI:98930
Hs3st3a1,MGI:1333861
